Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Audi,2006,A4,USED Dealer ad,2006 Audi A4 S Line Tiptronic Quattro,USED,Automatic,2.0,Other,Premium,8.9,172080,Grey / Grey,"Preston, VIC",4.0,Missing,4.0,5.0,11840.0
Mahindra,2021,PIK-UP,Ute / Tray,2021 Mahindra PIK-UP Black Edition Mhawk 4WD,USED,Manual,2.2,4WD,Diesel,8.8,9750,White / -,"Gatton, QLD",4.0,Ute / Tray,4.0,5.0,39990.0
Volkswagen,2016,Amarok,03 **** ****,2016 Volkswagen Amarok 2H MY15,USED,Missing,2.0,Other,Missing,8.9,146000,- / -,"Brooklyn, VIC",6.0,Missing,4.0,6.0,27999.0
Land,2014,Rover,SUV,2014 Land Rover Freelander 2 TD4 SE (4X4),USED,Automatic,2.2,4WD,Diesel,7.0,118288,Silver / Beige  Leather,"Golden Square, VIC",4.0,SUV,4.0,5.0,23990.0
Hyundai,2021,Tucson,SUV,2021 Hyundai Tucson (FWD),USED,Automatic,2.0,Front,Unleaded,8.1,44855,Grey / -,"Hoppers Crossing, VIC",4.0,SUV,4.0,5.0,36888.0
Honda,2018,HR-V,SUV,2018 Honda HR-V VTI,USED,Automatic,1.8,Front,Unleaded,6.6,32862,Blue / Black,"Essendon Fields, VIC",4.0,SUV,4.0,5.0,25464.0
Volkswagen,2020,Caddy,Commercial,2020 Volkswagen Caddy TSI220,USED,Automatic,1.4,Front,Premium,6.0,35529,White / 2020/06,"Dandenong South, VIC",4.0,Commercial,3.0,2.0,37450.0
Ford,2019,Endura,SUV,2019 Ford Endura Titanium (fwd),USED,Automatic,2.0,Front,Diesel,6.7,56644,Red / Black,"Elsternwick, VIC",4.0,SUV,4.0,5.0,36950.0
Hyundai,2009,Getz,Hatchback,2009 Hyundai Getz SX,USED,Automatic,1.6,Front,Unleaded,7.1,101542,Red / -,"Rocklea, QLD",4.0,Hatchback,5.0,5.0,7999.0
Volkswagen,2018,Golf,Wagon,2018 Volkswagen Golf R,USED,Automatic,2.0,AWD,Premium,8.0,78500,White / -,"Coomera, QLD",4.0,Wagon,4.0,5.0,43990.0
MG,2023,ZST,Ringwood Nissan and MG New & Demo,2023 MG ZST Excite,NEW,Automatic,1.3,Front,Missing,7.3,10,White / Black,"Ringwood, VIC",3.0,SUV,5.0,5.0,30990.0
Chrysler,2009,Grand,The Cheap Car Co Pty Ltd,2009 Chrysler Grand Voyager Limited,USED,Automatic,3.3,Front,Unleaded,9.8,130910,Black / -,"Rocklea, QLD",6.0,Wagon,5.0,7.0,11999.0
Hyundai,2015,I30,Hatchback,2015 Hyundai I30 Active,USED,Automatic,1.8,Front,Unleaded,7.3,111589,White / Cloth,"Ipswich, QLD",4.0,Hatchback,5.0,5.0,17886.0
Toyota,2018,Yaris,Hatchback,2018 Toyota Yaris Ascent,USED,Automatic,1.3,Front,Unleaded,6.4,116061,White / Black  Cloth,"West Footscray, VIC",4.0,Hatchback,5.0,5.0,19990.0
Mercedes-Benz,2021,EQC,SUV,2021 Mercedes-Benz EQC 400 4Matic Electric ART Line,USED,Automatic,0.0,AWD,Electric,0.0,2118,White / Black Leather,"Mulgrave, VIC",0.0,SUV,4.0,5.0,114800.0
Mitsubishi,2017,Triton,Ute / Tray,2017 Mitsubishi Triton GLX Plus (4X4),USED,Manual,2.4,4WD,Diesel,7.2,69390,White / Grey,"Chermside, QLD",4.0,Ute / Tray,4.0,5.0,32999.0
Ford,2011,Territory,SUV,2011 Ford Territory TX (rwd),USED,Automatic,2.7,Rear,Diesel,8.2,242000,Black / Black  Cloth,"Brooklyn, VIC",6.0,SUV,4.0,5.0,14499.0
